CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
609,France,Female,41,2,0.0,2,0,1,127597.3,4,PLATINUM,401,0
698,Germany,Female,22,6,0.0,2,1,0,25940.76,4,SILVER,718,0
611,France,Female,55,1,160833.65,1,0,1,181955.57,5,SILVER,158,0
705,France,Female,42,8,70968.06,2,1,0,117794.56,1,PLATINUM,829,0
561,Spain,Male,39,6,118514.42,1,1,0,16306.84,3,GOLD,538,0
576,Germany,Female,35,0,0.0,1,0,1,59233.77,1,SILVER,174,1
527,France,Male,32,0,82010.02,1,1,1,71458.54,3,GOLD,406,0
546,France,Female,48,5,0.0,1,1,1,117281.94,1,GOLD,428,0
679,France,Male,55,9,18434.83,1,1,1,67303.52,5,SILVER,604,0
733,France,Male,33,2,43069.74,4,0,1,113499.88,4,SILVER,607,0
745,France,Female,44,6,95056.18,2,1,0,195202.61,3,SILVER,325,0
758,Spain,Male,35,3,134385.85,3,1,1,117137.1,2,SILVER,346,0
545,France,Female,27,5,0.0,1,0,0,39847.19,1,GOLD,722,0
649,Germany,Female,43,10,140926.71,3,1,1,141201.74,3,SILVER,503,0
619,France,Male,19,8,0.0,2,1,0,147047.14,4,SILVER,372,0
711,Spain,Male,22,7,101319.92,2,0,1,189622.9,2,DIAMOND,810,0
653,Spain,Female,44,4,139403.36,1,1,1,145210.94,4,PLATINUM,319,0
684,France,Male,23,0,13797.24,1,1,1,135885.34,2,GOLD,284,0
585,France,Female,20,9,122736.64,2,1,0,69431.41,2,DIAMOND,603,0
561,France,Female,30,1,0.0,1,1,1,192977.32,1,DIAMOND,578,0
490,Spain,Male,18,9,58840.52,3,0,0,126997.37,4,PLATINUM,443,0
715,France,Female,22,7,0.0,2,0,0,155923.41,5,GOLD,481,0
638,Spain,Female,40,10,103974.22,2,1,0,76747.56,5,SILVER,446,0
788,Spain,Male,21,5,141859.7,3,0,0,29916.66,2,SILVER,536,0
531,France,Male,34,9,0.0,1,1,1,10973.17,5,PLATINUM,414,0
834,Spain,Male,36,0,57872.51,1,1,1,56111.67,3,GOLD,274,0
507,Germany,Male,37,6,178462.64,2,1,0,163103.06,5,DIAMOND,597,0
588,Spain,Female,41,1,84486.08,2,0,1,136335.3,2,PLATINUM,426,0
599,Germany,Female,25,8,19994.6,1,1,1,39768.29,2,PLATINUM,537,0
562,Germany,Male,19,5,0.0,4,0,0,119302.72,4,GOLD,605,1
624,France,Female,24,10,0.0,1,0,1,121700.58,1,GOLD,551,0
602,France,Male,22,1,79188.98,1,1,1,182376.05,4,DIAMOND,522,0
581,France,Male,33,2,0.0,1,1,1,99339.38,2,SILVER,259,0
656,Germany,Male,29,7,0.0,2,1,1,104894.67,5,SILVER,352,0
656,France,Female,31,5,123366.69,1,1,0,103422.4,3,SILVER,776,0
820,France,Female,35,4,51677.86,2,1,1,90130.63,4,SILVER,600,0
557,Germany,Female,35,3,0.0,1,1,0,184796.01,2,DIAMOND,724,1
763,France,Female,40,1,141594.0,1,1,1,174299.92,1,GOLD,614,0
707,Germany,Female,30,3,0.0,1,1,1,79697.26,1,PLATINUM,760,0
622,Germany,Female,33,2,0.0,1,0,1,97657.81,5,PLATINUM,423,0
653,France,Female,44,2,49519.33,1,0,1,98744.01,5,GOLD,412,0
541,Germany,Male,18,10,23919.65,1,1,0,10540.85,5,GOLD,641,0
646,France,Female,34,1,122427.69,2,1,0,59953.72,3,GOLD,507,0
603,France,Male,25,5,0.0,2,1,0,149016.04,3,PLATINUM,145,1
518,France,Male,32,6,0.0,2,1,0,41566.17,2,GOLD,400,0
530,Spain,Male,49,6,97047.46,1,1,1,93933.22,4,SILVER,242,0
781,France,Male,20,4,62040.27,1,1,1,47115.26,4,SILVER,454,0
584,Germany,Male,55,1,0.0,1,1,1,57470.22,2,SILVER,301,0
566,Germany,Female,22,0,1604.34,2,1,1,149408.94,2,SILVER,536,1
642,France,Female,26,6,0.0,1,0,0,178488.19,1,DIAMOND,795,0
843,Germany,Male,20,10,10547.85,1,0,0,60987.1,1,DIAMOND,401,0
587,Germany,Female,33,1,0.0,3,0,1,193177.07,4,GOLD,944,0
563,France,Female,33,4,0.0,2,1,1,36914.85,5,GOLD,365,0
658,France,Male,29,0,100469.18,2,0,1,59636.82,3,PLATINUM,561,0
777,France,Male,36,10,162432.21,1,0,0,154487.83,5,GOLD,68,0
809,Spain,Male,31,9,0.0,2,1,1,63891.27,5,GOLD,262,0
790,Germany,Female,38,10,0.0,3,1,0,144925.86,1,PLATINUM,654,0
682,Germany,Female,39,4,128769.36,1,0,1,43369.21,5,SILVER,638,0
607,France,Female,32,8,87826.37,2,1,1,162103.55,5,GOLD,367,0
618,France,Female,43,6,34514.7,3,1,0,61936.38,2,GOLD,211,0
661,France,Female,32,3,0.0,2,0,0,20320.11,2,PLATINUM,598,0
609,France,Male,18,7,73130.99,1,1,1,15882.97,4,SILVER,644,0
663,France,Male,28,6,75114.5,4,1,1,83179.11,5,SILVER,400,0
744,Germany,Female,38,8,0.0,1,1,0,59632.86,2,GOLD,482,0
584,Spain,Male,46,5,0.0,2,0,1,71255.54,2,PLATINUM,483,1
558,Germany,Male,35,7,3728.46,2,1,1,196164.3,5,DIAMOND,563,0
570,Spain,Male,18,2,0.0,1,1,0,163641.98,2,GOLD,540,0
678,Spain,Male,19,7,46347.99,2,1,1,123324.23,2,PLATINUM,424,0
491,France,Male,38,9,0.0,2,1,1,38719.36,4,DIAMOND,412,0
701,France,Male,20,7,78222.39,1,1,1,159283.54,5,SILVER,568,0
744,Spain,Female,27,6,0.0,2,1,1,181087.35,5,SILVER,467,0
738,France,Male,30,8,33809.78,1,1,1,187171.81,3,SILVER,475,0
415,France,Male,28,4,193584.9,4,0,0,78730.84,4,PLATINUM,670,0
850,France,Female,43,9,80519.24,1,0,1,95594.6,3,PLATINUM,121,0
695,Spain,Male,48,9,0.0,1,1,1,20936.23,4,PLATINUM,280,0
584,Spain,Male,20,10,0.0,1,1,0,154987.18,2,GOLD,178,0
678,Spain,Male,32,3,131768.81,2,1,1,79350.82,5,DIAMOND,588,0
740,France,Male,18,1,99618.65,3,0,1,162209.5,5,GOLD,106,0
513,Germany,Female,27,6,85247.54,1,0,0,64082.1,1,SILVER,161,0
638,Spain,Male,34,0,0.0,2,1,1,172802.45,4,SILVER,118,0
691,France,Male,40,10,116882.29,4,0,1,12198.87,2,PLATINUM,309,0
